video_name,frame_number,label,palm_tilt_degrees,temporal_stability
handshake_clip_10,0,1,61.218195873017294,0.0
handshake_clip_10,1,1,61.218195873017294,0.0
handshake_clip_10,2,1,174.70325062969084,0.10279937205281281
handshake_clip_10,3,1,150.49123522682692,0.10279937205281281
handshake_clip_10,4,1,12.812483975296605,0.11973014387245302
handshake_clip_10,5,1,-154.4425544376509,0.11973014387245302
handshake_clip_10,6,1,-158.56939050669257,0.11973014387245302
handshake_clip_10,7,1,-168.00169985035316,0.11973014387245302
handshake_clip_10,8,1,-177.53095798613418,0.11973014387245302
handshake_clip_10,9,1,173.34866201170908,0.05845231365278742
handshake_clip_10,10,1,-129.24162236073317,0.05845231365278742
handshake_clip_10,11,1,173.26584231186945,0.06366495602077837
handshake_clip_10,12,1,87.09547908916474,0.06366495602077837
handshake_clip_10,13,1,81.76715180572414,0.1113215790496517
handshake_clip_10,14,1,64.8510021845967,0.1113215790496517
handshake_clip_10,15,1,29.39230173246388,0.1113215790496517
handshake_clip_10,16,1,-9.970290093519138,0.1113215790496517
handshake_clip_10,17,1,-176.0403655702635,0.1113215790496517
handshake_clip_10,18,1,-179.24779430196438,0.10505456689117385
handshake_clip_10,19,1,-151.58119172285205,0.10505456689117385
handshake_clip_10,20,1,99.62102683068635,0.19501672816494314
handshake_clip_10,21,1,98.2879463073875,0.19501672816494314
handshake_clip_10,22,1,103.80538002428668,0.19501672816494314
handshake_clip_10,23,1,108.87867384556367,0.19501672816494314
handshake_clip_10,24,1,105.52794855038952,0.19501672816494314
handshake_clip_10,25,1,105.27408084608452,0.04258475493584946
handshake_clip_10,26,1,168.6528161373751,0.2570052998241025
handshake_clip_10,27,1,107.9376064927498,0.2570052998241025
handshake_clip_10,28,1,108.64092016423537,0.2570052998241025
handshake_clip_10,29,1,104.14347187582574,0.2570052998241025
handshake_clip_10,30,1,105.12442518760487,0.2570052998241025
handshake_clip_10,31,1,169.46491158460708,0.2583550658917234
handshake_clip_10,32,1,104.82720683172462,0.3112042479086808
handshake_clip_10,33,1,105.05371974579744,0.3112042479086808
